cell,stability_threshold,gene_set,n_genes,target,rho,p_spin,direction_h1,probe_selection,lr_mirror,missing,p_fdr
82f3a0226cf4,0.0,glycolytic_enzymes,6,coupling_angle,-0.06242424242424242,0.6219378062193781,positive,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,glycolytic_enzymes,6,baseline_oef,-0.059517625231910946,0.7664233576642335,positive,diff_stability,,,0.9069093090690931
82f3a0226cf4,0.0,glycolytic_enzymes,6,macaque_vascular_CONTROL,-0.06239592516407092,0.7143285671432856,positive,diff_stability,,,0.8654134586541345
82f3a0226cf4,0.0,interneuron_subclass,4,discordance_extraction,-0.0092105124874269,0.9491050894910509,,diff_stability,,,0.9491050894910509
82f3a0226cf4,0.0,interneuron_subclass,4,discordance_overshoot,0.09962830090707901,0.5417458254174583,,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,interneuron_subclass,4,coupling_angle,-0.09637600494743352,0.43975602439756023,,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,interneuron_subclass,4,baseline_oef,-0.13501546072974643,0.4978502149785021,,diff_stability,,,0.8850972045652578
82f3a0226cf4,0.0,interneuron_subclass,4,macaque_vascular_CONTROL,-0.10429795061002818,0.5452454754524547,,diff_stability,,,0.7814718528147185
82f3a0226cf4,0.0,HALLMARK_GLYCOLYSIS,181,discordance_extraction,0.06609240475826333,0.6443355664433557,positive,diff_stability,,,0.7875212478752124
82f3a0226cf4,0.0,HALLMARK_GLYCOLYSIS,181,discordance_overshoot,0.05205277964733109,0.7625237476252374,positive,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,HALLMARK_GLYCOLYSIS,181,coupling_angle,-0.047841682127396416,0.7108289171082892,positive,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,HALLMARK_GLYCOLYSIS,181,baseline_oef,-0.11549783549783549,0.5632436756324367,positive,diff_stability,,,0.8850972045652578
82f3a0226cf4,0.0,HALLMARK_GLYCOLYSIS,181,macaque_vascular_CONTROL,-0.1507928733905813,0.37806219378062195,positive,diff_stability,,,0.6931140219311401
82f3a0226cf4,0.0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,discordance_extraction,0.090300236568652,0.5345465453454654,negative,diff_stability,,,0.7816093390660934
82f3a0226cf4,0.0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,discordance_overshoot,0.06573880355508183,0.6993300669933007,negative,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,coupling_angle,-0.03131725417439703,0.8082191780821918,negative,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,baseline_oef,-0.22332714904143475,0.2390760923907609,negative,diff_stability,,,0.6574592540745925
82f3a0226cf4,0.0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,macaque_vascular_CONTROL,0.09837724883272929,0.5683431656834317,negative,diff_stability,,,0.7814718528147185
82f3a0226cf4,0.0,HALLMARK_ANGIOGENESIS,26,discordance_extraction,0.08231159004757065,0.5684431556844316,positive,diff_stability,,,0.7816093390660934
82f3a0226cf4,0.0,HALLMARK_ANGIOGENESIS,26,discordance_overshoot,-0.016116889957518882,0.9243075692430757,positive,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,HALLMARK_ANGIOGENESIS,26,coupling_angle,-0.00909090909090909,0.9458054194580542,positive,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,HALLMARK_ANGIOGENESIS,26,baseline_oef,-0.3822881880024737,0.0451954804519548,positive,diff_stability,,,0.2485751424857514
82f3a0226cf4,0.0,HALLMARK_ANGIOGENESIS,26,macaque_vascular_CONTROL,-0.03279241627757644,0.8458154184581542,positive,diff_stability,,,0.8654134586541345
82f3a0226cf4,0.0,HALLMARK_HYPOXIA,171,discordance_extraction,0.1650015243791366,0.258974102589741,positive,diff_stability,,,0.7816093390660934
82f3a0226cf4,0.0,HALLMARK_HYPOXIA,171,discordance_overshoot,-0.0012774449139087687,0.9938006199380062,positive,diff_stability,,,0.9938006199380062
82f3a0226cf4,0.0,HALLMARK_HYPOXIA,171,coupling_angle,-0.109560915275201,0.37666233376662334,positive,diff_stability,,,0.9458054194580542
82f3a0226cf4,0.0,HALLMARK_HYPOXIA,171,baseline_oef,-0.23658627087198517,0.20857914208579142,positive,diff_stability,,,0.6574592540745925
82f3a0226cf4,0.0,HALLMARK_HYPOXIA,171,macaque_vascular_CONTROL,0.028526028232169875,0.8654134586541345,positive,diff_stability,,,0.8654134586541345
