gene,rho,p_spin,p_fdr
KPNA4,0.15126312631263128,0.17538246175382463,0.9994302520775813
CD3EAP,0.15103510351035104,0.1414858514148585,0.9994302520775813
SH3BGRL2,0.15102310231023106,0.18368163183681632,0.9994302520775813
ARID5A,0.15095109510951096,0.22107789221077892,0.9994302520775813
PAG1,0.1508790879087909,0.21887811218878112,0.9994302520775813
ETV6,0.1508430843084309,0.2395760423957604,0.9994302520775813
HMGXB3,0.15079507950795082,0.17898210178982102,0.9994302520775813
NSDHL,0.15072307230723078,0.19088091190880913,0.9994302520775813
ADCY1,0.15071107110711074,0.1845815418458154,0.9994302520775813
DHX8,0.1502910291029103,0.1850814918508149,0.9994302520775813
NR2F2-AS1,0.15023102310231023,0.1663833616638336,0.9994302520775813
SNTG1,0.15009900990099015,0.2181781821817818,0.9994302520775813
CD248,0.15008700870087013,0.17098290170982902,0.9994302520775813
SEMA3G,0.1500390039003901,0.19158084191580843,0.9994302520775813
CREB3L3,0.14991899189918995,0.21957804219578042,0.9994302520775813
LOC440084,0.1498469846984699,0.21397860213978603,0.9994302520775813
SRGAP2,0.14965496549654972,0.18418158184181582,0.9994302520775813
ANKRD9,0.14961896189618967,0.18988101189881013,0.9994302520775813
FIGN,0.1494989498949895,0.23167683231676833,0.9994302520775813
DPH7,0.14945094509450946,0.21037896210378962,0.9994302520775813
ZNF526,0.14943894389438944,0.21007899210078992,0.9994302520775813
EPB41L3,0.14933093309330933,0.21457854214578542,0.9994302520775813
ZNF484,0.1492949294929493,0.16968303169683033,0.9994302520775813
ELAVL4,0.14923492349234924,0.20227977202279773,0.9994302520775813
UVRAG,0.14879087908790878,0.2106789321067893,0.9994302520775813
TSPYL4,0.14862286228622865,0.22177782221777823,0.9994302520775813
LOC101928087,0.14852685268526855,0.23017698230176983,0.9994302520775813
PLCL1,0.14835883588358836,0.2146785321467853,0.9994302520775813
PTPN11,0.14825082508250828,0.19098090190980901,0.9994302520775813
ABCG2,0.14823882388238824,0.21947805219478053,0.9994302520775813
SLC38A5,0.14814281428142817,0.202979702029797,0.9994302520775813
CHN1,0.14804680468046805,0.1792820717928207,0.9994302520775813
SYT15,0.14803480348034806,0.2151784821517848,0.9994302520775813
RASSF7,0.1478427842784278,0.1835816418358164,0.9994302520775813
PCNX2,0.1478067806780678,0.23307669233076692,0.9994302520775813
PTTG2,0.14775877587758782,0.19858014198580143,0.9994302520775813
STAT6,0.14754275427542757,0.20767923207679231,0.9994302520775813
KIAA0391,0.14753075307530752,0.2186781321867813,0.9994302520775813
CELF3,0.14751875187518756,0.1994800519948005,0.9994302520775813
ROCK2,0.14731473147314733,0.2268773122687731,0.9994302520775813
URB2,0.14730273027302732,0.17678232176782321,0.9994302520775813
DCUN1D1,0.14721872187218726,0.18388161183881613,0.9994302520775813
SLC27A4,0.1471707170717072,0.17638236176382363,0.9994302520775813
GRK5,0.14706270627062706,0.21147885211478853,0.9994302520775813
MFHAS1,0.14652265226522654,0.1942805719428057,0.9994302520775813
MARVELD1,0.14624662466246627,0.19608039196080393,0.9994302520775813
CLMN,0.14616261626162616,0.19408059194080593,0.9994302520775813
SLC41A2,0.14611461146114615,0.19038096190380963,0.9994302520775813
TCF7L2,0.14601860186018603,0.2521747825217478,0.9994302520775813
FAM171A2,0.14595859585958598,0.1852814718528147,0.9994302520775813
SAP18,0.14580258025802584,0.23067693230676933,0.9994302520775813
SH3PXD2B,0.14579057905790585,0.18068193180681932,0.9994302520775813
CACNG2,0.14552655265526557,0.22867713228677133,0.9994302520775813
