gene,rho,p_spin,p_fdr
VWCE,-0.12839663282978434,0.3134686531346865,0.6460118409945965
TCTA,-0.12842672343977493,0.271972802719728,0.6112813857787969
MOSPD2,-0.12843274156177303,0.263973602639736,0.60608844832368
SRM,-0.1284568140497655,0.2930706929307069,0.6274477492245194
LIX1,-0.12846283217176363,0.3180681931806819,0.6492552181716368
NANOS1,-0.12851699526974666,0.397960203979602,0.7004096794720162
CPSF4,-0.12853504963574097,0.24907509249075094,0.592267524642452
STAM2,-0.12858319461172596,0.3461653834616538,0.6673623162941308
PKIA,-0.12860124897772024,0.35166483351664835,0.6708364851247217
GRIN2B,-0.12881188324765425,0.28057194280571945,0.6194257545854248
SARNP,-0.12881790136965243,0.30996900309969005,0.6430222346783975
FCGR2A,-0.12883595573564674,0.27047295270472954,0.6099682922424562
CTNND2,-0.1290706624935732,0.40185981401859816,0.7016371333996402
BPHL,-0.12913686183555248,0.2927707229277072,0.6273307864744252
PSORS1C1,-0.1292933330075035,0.3210678932106789,0.6519393575328892
PKD2L1,-0.12931740549549597,0.37536246375362464,0.6856114959660625
MOB3B,-0.12940767732546768,0.2790720927907209,0.618896219658173
ZNF691,-0.12942573169146207,0.2936706329367063,0.6276810881185495
PEMT,-0.1294498041794545,0.29227077292270776,0.6272917553173433
RASGEF1A,-0.1294979491554394,0.2633736626337366,0.6057140241637908
LOC440934,-0.1295761847414149,0.3635636436356364,0.6798276112018788
GPR6,-0.12960025722940738,0.27547245275472454,0.6141090337348131
RGS12,-0.12961831159540174,0.2990700929907009,0.633222932192014
GFAP,-0.12963034783939792,0.22277772222777723,0.5721385903367705
MXRA8,-0.12963034783939795,0.24097590240975902,0.5869480310852163
EFEMP1,-0.12965442032739039,0.3594640535946405,0.6765085267724454
PDE1B,-0.12968451093738098,0.3247675232476752,0.6551153244297021
BYSL,-0.12969654718137721,0.2501749825017498,0.5928613811464081
HIST1H4F,-0.12972061966936965,0.22357764223577642,0.5721385903367705
PLEKHG5,-0.1298229277433376,0.32326767323267674,0.6536372449711549
PAFAH2,-0.13000347140328108,0.20117988201179882,0.5605912279774538
CNMD,-0.13017799694122642,0.2628737126287371,0.6057140241637908
EIF5A,-0.13033446811317742,0.24857514248575144,0.5921800987603103
NSG2,-0.13044279430914346,0.28957104289571045,0.6259169019806881
YPEL5,-0.130575192993102,0.24837516248375163,0.5920714330058604
C1QL3,-0.13057519299310205,0.34666533346665335,0.6676549769075315
ITGB4,-0.13058722923709826,0.21377862213778623,0.5677034026701135
SREK1IP1,-0.13070759167706053,0.2612738726127387,0.6039644454705388
WDR6,-0.13080989975102852,0.29617038296170384,0.6307393136311022
ASH2L,-0.1308159178730266,0.2973702629737026,0.6318285437643286
SLC41A2,-0.13083999036101904,0.26807319268073193,0.6089397278809282
LOC100129034,-0.13108071524094367,0.24637536246375363,0.5917174093486081
MARCKS,-0.1311589508269192,0.34636536346365365,0.667580076163238
EIF4EBP1,-0.13118302331491163,0.27247275272472754,0.6116881727103848
MYH15,-0.1312672770228852,0.2546745325467453,0.5988989390453965
WDFY3-AS2,-0.13129134951087768,0.2840715928407159,0.6211839192363545
STT3B,-0.13130940387687207,0.3154684531546845,0.6477404989693749
ZNF706,-0.13132745824286637,0.32596740325967405,0.6554964624051086
SPON1,-0.13173067241674008,0.17718228177182282,0.5365832149513039
RTN4RL2,-0.13179085363672127,0.3097690230976902,0.6430222346783975
SCP2,-0.13186908922269677,0.19258074192580743,0.5549537457974714
DENND6B,-0.13195334293067035,0.2633736626337366,0.6057140241637908
BCRP2,-0.13218804968859682,0.3224677532246775,0.6528503919204278
ETFRF1,-0.13226628527457232,0.32986701329867013,0.6584464894650269
SEPT11,-0.1323806295925365,0.2328767123287671,0.5810631481538229
C17orf51,-0.13238062959253652,0.23617638236176383,0.5844811520137893
C12orf75,-0.1324889557885026,0.3114688531146885,0.6443574898173613
FLJ33534,-0.13250099203249882,0.22977702229777022,0.578666952740051
NEURL1,-0.13256719137447803,0.24497550244975502,0.5909456224188901
STK17A,-0.1330366048903311,0.28417158284171584,0.6212254807577094
AP3S1,-0.13329538413625003,0.3107689231076892,0.6438108618943721
BCL2L13,-0.13346389155219726,0.20387961203879612,0.561511675231329
HTR1E,-0.13347592779619344,0.2800719928007199,0.6193657867642631
MRPL19,-0.133608326480152,0.25007499250074994,0.5928613811464081
FAM229B,-0.13363841709014254,0.26687331266873315,0.6085568315938917
TRAPPC9,-0.13366850770013317,0.26907309269073093,0.6093661940205272
SLC50A1,-0.13369859831012373,0.26907309269073093,0.6093661940205272
DHDH,-0.13381896075008604,0.2652734726527347,0.6071696050430735
PTRH2,-0.13383701511608034,0.23847615238476152,0.5862162109147937
GABARAP,-0.1338971963360615,0.26477352264773524,0.6071122278453158
MEX3A,-0.13392126882405397,0.26007399260073993,0.603639212478147
RPP30,-0.1340235768980219,0.21507849215078492,0.5682825531879802
SMIM29,-0.13408375811800305,0.2926707329267073,0.6272917553173433
SNHG19,-0.13422217492395971,0.2883711628837116,0.6254789306622385
NAA11,-0.13424624741195218,0.25807419258074193,0.6020295118546398
PRMT2,-0.1342522655339503,0.3277672232776722,0.6563044556938198
LINC00260,-0.13425828365594844,0.3284671532846715,0.6563353823513194
C5orf30,-0.13429439238793714,0.2780721927807219,0.617929255741865
CHRM3,-0.1343184648759295,0.33456654334566543,0.6606017712719993
AMN1,-0.13440271858390318,0.29587041295870414,0.6304505382795055
POC1A,-0.13455317163385605,0.23937606239376064,0.5862162109147937
SMIM10,-0.13458928036584472,0.27207279272072793,0.6113270043821628
LOC103091866,-0.13468557031781458,0.20657934206579343,0.5627379733617548
C2CD2L,-0.1347397334157976,0.24397560243975602,0.5902039881158525
RPS11,-0.13474575153779572,0.31856814318568144,0.6495843238642643
PRKCG,-0.1347698240257882,0.36236376362363765,0.6791332594079952
UFC1,-0.13484204148976553,0.31826817318268175,0.6493178607671148
CABYR,-0.1349082408317448,0.21077892210778923,0.564949375083456
RASAL1,-0.13495036768573163,0.30856914308569144,0.6426917992425575
MAPK3,-0.13503462139370526,0.33196680331966805,0.6593778737092629
SPSB2,-0.13507674824769206,0.20407959204079593,0.561511675231329
HMGCS1,-0.13515498383366756,0.28457154284571545,0.6215684240232014
HDGFL3,-0.13516702007766376,0.30986901309869014,0.6430222346783975
UNC5D,-0.1351730381996619,0.32636736326367366,0.6555548687079447
CENPM,-0.13523321941964306,0.18938106189381063,0.5510258209606745
HSPB1,-0.1353475637376072,0.2566743325667433,0.600573865198058
SAMD9,-0.13536561810360154,0.276972302769723,0.616020450723846
CD63,-0.1354017268355903,0.288971102889711,0.6254789306622385
PDIA3,-0.13543181744558086,0.196980301969803,0.5581438904080072
B3GALT6,-0.13543181744558086,0.2990700929907009,0.633222932192014
TRIM14,-0.13561236110552427,0.2812718728127187,0.6194257545854248
CEP57L1,-0.1356544879595111,0.20607939206079393,0.5621746146864688
LINC00958,-0.13580494100946397,0.2455754424557544,0.5912772187941281
HOMER2,-0.13594335781542066,0.2976702329767023,0.6318285437643286
MIF,-0.13602761152339418,0.20327967203279673,0.5605912279774538
RPL39,-0.13604566588938857,0.2695730426957304,0.6094591248213816
HDAC5,-0.13604566588938857,0.25037496250374963,0.592968921693814
CDK20,-0.1362201914273339,0.2450754924507549,0.5910009753504373
TMEM167A,-0.13625028203732448,0.19718028197180282,0.5581438904080072
DCHS1,-0.1362623182813207,0.23897610238976102,0.5862162109147937
MCUR1,-0.13632249950130182,0.35836416358364165,0.6756661514595103
SLC29A4,-0.1363224995013019,0.3043695630436956,0.6384519874509677
DHFR,-0.13635259011129242,0.19988001199880012,0.5605912279774538
SLC30A4,-0.13656322438122648,0.29187081291870814,0.6272917553173433
C2orf69,-0.13659933311321515,0.28787121287871215,0.6254789306622385
ALG1L,-0.13664145996720198,0.21827817218278173,0.5705650143432524
TSPAN3,-0.1366896049431869,0.20137986201379862,0.5605912279774538
PRKG1,-0.13670164118718311,0.2455754424557544,0.5912772187941281
RSPO4,-0.13674978616316802,0.29247075292470753,0.6272917553173433
RTBDN,-0.13686413048113222,0.29747025297470253,0.6318285437643286
NUDT4,-0.13708078287306436,0.25617438256174385,0.600573865198058
HID1,-0.13715901845903986,0.18898110188981102,0.5503697921779576
LSAMP,-0.13727336277700405,0.2535746425357464,0.5977784520257254
ZFAND3,-0.13750806953493053,0.1615838416158384,0.5217823610991866
SLC35A2,-0.13762843197489286,0.22037796220377961,0.5708682168220425
SBF2,-0.1376464863408872,0.21587841215878412,0.5686824518097641
C8orf33,-0.1376645407068815,0.20557944205579443,0.5615560108877052
TEX29,-0.13782703000083063,0.27677232276772323,0.6159328366554119
CENPP,-0.1378330481228287,0.23157684231576842,0.5795843254173767
WDFY4,-0.1379052655868061,0.3140685931406859,0.6460767438943957
ISYNA1,-0.1379353561967967,0.2628737126287371,0.6057140241637908
CYS1,-0.1379774830507835,0.2796720327967203,0.619238018511388
GRM1,-0.1381158998567401,0.2873712628737126,0.6253687822707091
AGRN,-0.13812793610073634,0.21097890210978903,0.5650342534633875
TMEM219,-0.13836264285866287,0.23817618238176183,0.5861563987970789
DPY30,-0.13841680595664593,0.21307869213078692,0.5670920949499504
CARD8,-0.13847698717662704,0.19218078192180782,0.5546346042596644
MAPK13,-0.13877187515453468,0.25847415258474155,0.6020295118546398
SCN3B,-0.1387778932765328,0.28687131286871315,0.6253452233634267
STOX1,-0.13882603825251771,0.29917008299170084,0.6332598528226647
DGCR6L,-0.1389403825704819,0.18698130186981302,0.5489221456729183
CHMP2A,-0.13894640069248004,0.2870712928707129,0.6253687822707091
TP53BP1,-0.13907879937643855,0.2501749825017498,0.5928613811464081
HSPB8,-0.13923527054838955,0.25837416258374163,0.6020295118546398
ARL10,-0.13934359674435562,0.2645735426457354,0.6071024964509232
KCNB2,-0.13936165111034998,0.3077692230776922,0.6417226719839567
MLIP,-0.13947599542831413,0.28147185281471854,0.6194257545854248
NOV,-0.1396505209662595,0.34166583341665835,0.6646628829140382
LOC729732,-0.1397468109182293,0.23157684231576842,0.5795843254173767
UBE4A,-0.13975884716222556,0.24087591240875914,0.5869480310852163
RPN2,-0.13990328209018033,0.2166783321667833,0.569225851387464
TCF7L1,-0.13990930021217843,0.24017598240175983,0.5869480310852163
C6orf226,-0.13992133645617466,0.24807519248075194,0.5920714330058604
RIPOR2,-0.13996948143215954,0.29417058294170584,0.6282631686733915
